,Artist,Genre,Lyric
0,10000 Maniacs,Rock,I could feel at the time. There was no way of knowing. Fallen leaves in the night. Who can say where they're blowing. As free as the wind. Hopefully learning. Why the sea on the tide. Has no way of turning. More than this. You know there's nothing. More than this. Tell me one thing. More than this. You know there's nothing. It was fun for a while. There was no way of knowing. Like a dream in the night. Who can say where we're going. No care in the world. Maybe I'm learning. Why the sea on the tide. Has no way of turning. More than this. You know there's nothing. More than this. Tell me one thing. More than this. You know there's nothing. More than this. You know there's nothing. More than this. Tell me one thing. More than this. There's nothing.
1,10000 Maniacs,Rock,[ music: Dennis Drew/lyric: Natalie Merchant ]. . science. is truth for life. watch religion fall obsolete. science. will be truth for life. technology as nature. science. truth for life. in fortran tongue the. answer. with wealth and prominence. man so near perfection. possession. it's an absence of interim. secure no demurrer. defense against divine. defense against his true. image. human conflict number five. discovery. dissolved all illusion. mystery. destroyed with conclusion. and illusion never restored. any modern man can see. that religion is. obsolete. piety. obsolete. ritual. obsolete. martyrdom. obsolete. prophetic vision. obsolete. mysticism. obsolete. commitment. obsolete. sacrament. obsolete. revelation. obsolete.
2,10000 Maniacs,Rock,For whom do the bells toll. When sentenced to die. The stuttering rifles. Will stifle the cry. The monstrous anger. The fear's rapid rattle. A desert inferno. Kids dying like cattle. Don't tell me. We're not prepared. I've seen today's marine. He's eighteen and he's eager. He can be quite mean. No mock'ries for them. No prayers or bells. The demented choirs. The wailing of shells. The boys holding candles. On untraveled roads. The fear spreads like fire. As shrapnel explodes. I think it's wrong. To conscript our youth. Against their will. When plenty of our citizenry. Really like to kill. What sign posts will lead. To armageddon's fires. What bugles will call them. From crowded grey shires. The women sit quiet. With death on their minds. A slow dusk descending. The drawing of blinds. Make the hunters all line up. It's their idea of fun. And let those be forgiven. Who never owned a gun. Was it him or me. Or the wailing of the dead. The laughing soldiers. Cast their lots. And you can cut the dread.
3,10000 Maniacs,Rock,Jenny. Jenny you don't know the nights I hide. below a second story room. to whistle you down. the man who's let to divvy up. time is a miser. he's got a silver coin. only lets it shine for hours. while you sleep it away. there's one rare and odd style of living. part only known to the everybody Jenny. a comical where's the end parade. of the sort people here would think unusual. Jenny. tonight upon the mock brine of a Luna Sea. far off we sail on to Back O' The Moon. Jenny. Jenny you don't know the days I've tried. telling backyard tales. so to maybe amuse. o your mood is never giddy. if you smile I'm delighted. but you'd rather pout. such a lazy child. you dare fold your arms. tisk and say that I lie. there's one rare and odd style of thinking. part only known to the everybody Jenny. the small step and giant leap takers. got the head start in the race toward it. Jenny. tonight upon the mock brine of a Luna Sea. far off we sail on to the Back O' The Moon. that was a sigh. but not meant to envy you. when your age was mine. some things were sworn true. morning would come. and calendar pages had. new printed seasons on. their opposite sides. Jenny. Jenny you don't know the nights I hide. below a second story room. to whistle you down. o the man who's let to divvy up. time is a miser. he's got a silver coin. lets it shine for hours. while you sleep it away. there's one rare and odd style of living. part only known to the everybody Jenny. out of tin ships jump the bubble head boys. to push their flags into powdered soils and cry. no second placers. no smart looking geese in bonnets. dance with pigs in high button trousers. no milk pail for the farmer's daughter. no merry towns of sweet walled houses. here I've found. Back O' the Moon. not here. I've found. Back O' the Moon
4,10000 Maniacs,Rock,"""the legs of Maddox kitchen tables. my whole life twisted on a lathe. in a foreman's torrent. my first English was. """"faster boy if you want your pay"""". barking commands. loud and simple. we could all obey. then I was forever pulling silvers. rubbed the sawdust always. deeper in my eye. varnish vapor that could linger. on my skin. it held tight. the whine of spinning blades. still echoes to bother my sleep at night. see that ox. stamped dead center. on the letter head of the company mail. four decades a spitting image. of the animal I portrayed. at Maddox Table a yoke was carved. for my neck. sun through the window oil spattered. and in mason jars. tricked plenty seeds thrive. the standing joke. around the shop was. with my green thumb. anything'd grow. my part was to laugh. show and ornery jig had. cut it at the knuckle bone. see that ox. trade mark burned. into every stick of furniture. from horn to tail. four decades a spitting image. of the animal I portrayed. at Maddox Table a yoke was carved. for my neck. was tailor made. o my Dolly was a weak. not a burdened girl. treat her to a piece of vaudville. a Wintergarden moving picture show. Bemus Point on July Sundays. by trolley we'd go. to your benefit we's strike or bargain. with the waving fist a union man. not just for. smokes spirits candy and cologne. but for. automobile keys. cash in the bank. and the deed. on a place called home"""
5,10000 Maniacs,Rock,Steep is the water tower. painted off blue to match the sky. can't ignore the train. night walks in the valley silent. you could swear the earth just moved. can't ignore the train. dust to be kicked up. in the crack faced. idle sinister town. screen door to the rail station. devil in her shoe. ran along side the wasted tracks. hem pins darted her calves. can't ignore the train. one spoiled girl with the tidiest apology. some how wedged inside her throat. can't ignore the train. patience their virtue. but I never could abide by that. dungeon life with electric light. a clean towel and a basin. mantle figures mind their place. laughs where they belong. through adventure we are not adventuresome. rage to share with a wardrobe mirror. in a room so beige and cold. can't ignore the train. window days saw the children pick their. street games on thirty afternoons. Molly the boys are. starting in the rhymic again. teasing more and more..... the second daughter. how she fell. young locked in Some Folk's Prison. made to dwell. til they're braiding. her grey hair. sitting in the wishing chair. sitting in the wishing chair. sitting in the wishing chair.
6,10000 Maniacs,Rock,come as we go far away. from the noise of the street. walk a path so narrow. to a place where we feel at ease. some think it is haunting. to be drawn to the cemetery ground. as we. there's a stillness here. thankful found. child's pose angelic. a stone lamb at her feet. part the matted overgrowth. to read the carven elegy. some think it so haunting. to be drawn to the cemetery ground. as we. there's a stillness here. thankful found. born in New Albion. of Rice family elite. wed to Myron Bilowe. thrice with sons. blessed was she. some think it so haunting. to be drawn to the cemetery ground. as we. God's acre is a fenced in. hollow ground. here soon to rise up. Amelia tender and sweet. her last words spoke. all is well. all is peace. some think it so haunting. to be drawn to the cemetery ground. as we. God's acre is a fenced in. hollow ground
7,10000 Maniacs,Rock,[ music: Robert Buck & Dennis Drew/lyric: Natalie Merchant ]. . dance to the sun. a kiss to the earth. embrace a stone. come the small black book. come the brandy cask. one strange disease. the well worded paper. signed by the drunken. hands of thieves. and suddenly. they were told to leave. as the snake uncoiled on a road. the length was eighty miles. wagons' weary horses. lead the feverish exiles. barefoot in the early snow. on a ridge. where they beheld their home. coarse and barren. not the haven. promised by the Father. Jaksa Chula Harjo. Jaksa Chula Harjo. Jaksa Chula Harjo **. the Red Sticks first and. the Dancing Ghosts were. pierced with arms of fire. and the weeping widows. left could not avenge. so the Western Star manifest its will. drove them clear into the Pacific O. gone the way of flesh. turned pale and died. by your god's decree. for he hated me. ** Cherokee name for Andrew Jackson. the 7th president of the U.S.A..
8,10000 Maniacs,Rock,For whom do the bells toll. When sentenced to die. The stuttering rifles. Will stifle the cry. The monstrous anger. The fear's rapid rattle. A desert inferno. Kids dying like cattle. Don't tell me. We're not prepared. I've seen today's marine. He's eighteen and he's eager. He can be quite mean. No mock'ries for them. No prayers or bells. The demented choirs. The wailing of shells. The boys holding candles. On untraveled roads. The fear spreads like fire. As shrapnel explodes. I think it's wrong. To conscript our youth. Against their will. When plenty of our citizenry. Really like to kill. What sign posts will lead. To armageddon's fires. What bugles will call them. From crowded grey shires. The women sit quiet. With death on their minds. A slow dusk descending. The drawing of blinds. Make the hunters all line up. It's their idea of fun. And let those be forgiven. Who never owned a gun. Was it him or me. Or the wailing of the dead. The laughing soldiers. Cast their lots. And you can cut the dread.
9,10000 Maniacs,Rock,wide open falsehood. the clan destine truths. rival till the end. in a series of duels. pardon the drapery language I choose. Waltz in Vienna has taught me to use. every tall room a fiction. leather bound treasure books. up to the ceiling. gold spine upon spine. the guile and the treason. the faith and allegiance. wide open falsehood. the clan destine truths. rival till the end. in a series of duels. pardon the drapery language I choose. the author grew fat to imagine. his lead pen careening. gave voice to the scheming. an Aryan cabale to dethrone. the guile and the treason. the faith and allegiance. to the empire unknown. the baron and his mistress. dine in fine banquet hall. as rebel insurgents plot in. the attic space crawl. wide open falsehood. the clan destine truths. rival till the end. in a series of duels. pardon the drapery language I choose. his small hand did strive. to explain all the. rants and raves of. a people enslaved. by the cant of the shrewdest. capable men. the guile and the treason. the faith and allegiance. now lie in my hand. the guile and the treason. the faith and allegiance. now lie in my hand
